"ARTIST_ID","FECHA","POPULARITY","NUM_FOLLOWERS"
"6kz53iCdBSqhQCZ21CoLcc",24/04/20,66,804562
"7n2wHs1TKAczGzO7Dd2rGr",24/04/20,89,25901154
"3AVfmawzu83sp94QW7CEGm",24/04/20,74,567158
"6VuMaDnrHyPL1p4EHjYLi7",24/04/20,82,10100096
"4IWBUUAFIplrNtaOHcJPRM",24/04/20,85,5833345
"5p7f24Rk5HkUZsaS3BLG5F",24/04/20,80,5592555
"4K9OTkRXEFL6NDXFTqVmq9",24/04/20,65,53534
"3qnGvpP8Yth1AqSBMqON5x",24/04/20,77,978184
"55fhWPvDiMpLnE4ZzNXZyW",24/04/20,80,576973
"25u4wHJWxCA9vO0CzxAbK7",24/04/20,76,1657573
"5IH6FPUwQTxPSXurCrcIov",24/04/20,82,1471310
"5Pwc4xIPtQLFEnJriah9YJ",24/04/20,85,9787143
"4kYGAK2zu9EAomwj3hXkXy",24/04/20,76,510515
"6eUKZXaKkcviH0Ku9w2n3V",24/04/20,94,62787529
"7z2avKuuiMAT4XZJFv8Rvh",24/04/20,75,653791
"1cZQSpDsxgKIX2yW5OR9Ot",24/04/20,79,194254
"4xnihxcoXWK3UqryOSnbw5",24/04/20,78,440564
"5Yo5iU2nf4H41waPl4ZnS1",24/04/20,72,445222
"4lDiJcOJ2GLCK6p9q5BgfK",24/04/20,77,1483007
"3pjq2pDV9RR6VY55wBjVnp",24/04/20,76,651757
"6h1s4i4XKIYv4ErDelLDN0",24/04/20,84,688866
"5pVRwX5ZQR7hfJ18w8ZYkl",24/04/20,82,1374911
"7B2edU3Q7btJoNsoHCNohM",24/04/20,66,356479
"5Wfvw7rDz7HA6gE2z6QhqO",24/04/20,57,83896
"2sG4zTOLvjKG1PSoOyf5Ej",24/04/20,69,403697
"6J7rw7NELJUCThPbAfyLIE",24/04/20,64,736843
"0X2BH1fck6amBIoJhDVmmJ",24/04/20,84,7856910
"0epOFNiUfyON9EYx7Tpr6V",24/04/20,82,3195828
"2JwyRtuXf2l6sTnSnGVIa1",24/04/20,73,681079
"5e1SaJPn6U7YpOrNTkW1jH",24/04/20,47,5486
"3Aut8hgiqZSy2qmJluZMU9",24/04/20,61,27024
"3Caot8EtHX6wLpNF2wRzS0",24/04/20,59,259713
"7dBCtHnpE9LRrRftcPRbJr",24/04/20,42,1555
"239Y6QdFqVFfdsw6moqSEN",24/04/20,56,37956
"7ltDVBr6mKbRvohxheJ9h1",24/04/20,81,3195585
"1H5bZEYikISQmR2qY2SASI",24/04/20,40,2353
"4fTWIwXX49PpfrhxBHfkkw",24/04/20,48,8023
"2RVvqRBon9NgaGXKfywDSs",24/04/20,69,138650
"5pDjmC5mRl7vDJhsjVwNfk",24/04/20,72,218067
"5gw5ANPCVcxU0maLiGRzzP",24/04/20,62,65882
"36jaGQtMj5UWD0eO1fCVdD",24/04/20,65,121525
"4TCXgdDPm10ensLNCVnIYa",24/04/20,63,83464
"251UrhgNbMr15NLzQ2KyKq",24/04/20,62,96146
"4obzFoKoKRHIphyHzJ35G3",24/04/20,83,8144896
"2l35CQqtYRh3d8ZIiBep4v",24/04/20,73,765194
"2WzaAvm2bBCf4pEhyuDgCY",24/04/20,72,840134
"4dpARuHxo51G3z768sgnrY",24/04/20,84,20932818
"6ydoSd3N2mwgwBHtF6K7eX",24/04/20,78,2306354
"66CXWjxzNUsdJxJ2JdwvnR",24/04/20,92,44929025
"32WkQRZEVKSzVAAYqukAEA",24/04/20,74,2912146
"6JL8zeS1NmiOftqZTRgdTz",24/04/20,80,8935957
"0gadJ2b9A4SKsB1RFkBb66",24/04/20,76,2522743
"4ScCswdRlyA23odg9thgIO",24/04/20,79,2107964
"0DxeaLnv6SyYk2DOqkLO8c",24/04/20,70,1121520
"426VSUSxx9puUYFgp7l7EQ",24/04/20,58,47693
"5cKlE8f6b26h61Ml7m052Q",24/04/20,65,214147
"1r1uxoy19fzMxunt3ONAkG",24/04/20,71,196325
"167VlZ0C0ewQbgKexRFcs6",24/04/20,43,7612
"7D8LuVnlyu91ndcPe70j7S",24/04/20,59,107506
"3uikSah4dwqwuk0EidFI4R",24/04/20,55,24913
"3WGpXCj9YhhfX11TToZcXP",24/04/20,81,4455561
"02U4dXZhGSo07f66l8JZ91",24/04/20,57,32343
"31jvzuB4ikftPQZJwrYfCF",24/04/20,67,299568
"6Si6fslrH2xSORoY5TclT5",24/04/20,52,2313
"2TM0qnbJH4QPhGMCdPt7fH",24/04/20,67,453977
"5Y8eJDj37KhaEeqbVO7Ag1",24/04/20,73,838054
"4AYkFtEBnNnGuoo8HaHErd",24/04/20,65,435510
"19y5MFBH7gohEdGwKM7QsP",24/04/20,67,1311302
"2WX2uTcsvV5OnS0inACecP",24/04/20,74,3025351
"5Nm4sZeWDNd1sOs5HcxAbl",24/04/20,54,5368
"3mIj9lX2MWuHmhNCA7LSCW",24/04/20,81,3969395
"4dcU7cmzO3GECQGSKwl92z",24/04/20,50,12112
"2XdtmipGVPmA62ptDgX8QC",24/04/20,62,47451
"0z9hynUsIjf0ddI4uHqPWX",24/04/20,60,97527
"5fIZHCg2de8322HZodBDWL",24/04/20,54,37625
"6nFBonVf7Lqaj05R0v5VGJ",24/04/20,56,84131
"10exVja0key0uqUkk6LJRT",24/04/20,77,2026083
"4tvKz56Tr39bkhcQUTO0Xr",24/04/20,72,998999
"2KOxHm9lGE9lFZDQdebD6B",24/04/20,47,13667
"3Lg3FGwBxOGuefqekQzRUf",24/04/20,62,115749
"0syIRg9MPSpJIC0QCPUaHB",24/04/20,58,45132
